site_code;site_name;type_name;region_name;Chronology;data_valid_start;data_valid_end;weight;sampling_notes;extra_notes;short_ref;culture_type;x;y;Triticum aestivum/durum;Triticum dicoccum;Triticum monococcum;Avena sp;Hordeum vulgare;Panicum milliaceum;Secale cereale;Setaria italica;Sorghum bicolor;Cerealia ind;Leguminosae;Lens culinaris;Pisum sativum;Vicia faba;Vicia sativa;Vicia sp;Lathyrus cicera/sativus;Cicer aretinum;Cornus mas;Corylus avellana;Ficus carica;Fragaria vesca;Juglans regia;Castanea sativa;Malus domestica;Olea europaea L;Prunus cerasus;Prunus avium;Prunus sp;Prunus persica;Prunus domestica;Prunus spinosa;Rubus fruticosus;Pyrus communis;Sambucus nigra;Cucumis melo;Vitis vinifera;Linum usatissimus;Sorbus sp
170;Pompei, VI, 1, 4, Inn Bar, 1st c. CE;Urban;Campania;R;1;1;1.0000;"Pompei, VI, 1, 4, Inn Bar, 1st c. CE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites.; Triticum sp. has been classified as ""Cerealia""

";Murphy et al 2013;Roman;14.481558200389934;40.75169792180213;;;;;1;;;;;3;;;;;;3;;;;;56;;;;;2;;;;2;;;;;;;1;;
171;Pompei, VI, 1, 4, Vestals Bar, 1st c. BCE;Urban;Campania;R;-1;-1;1.0000;"Pompei, VI, 1, 4, Vestals Bar, 1st c. BCE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites.; Triticum sp. has been classified as ""Cerealia""

";Murphy et al 2013;Roman;14.481633069569275;40.751659159606305;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;5;;
171;Pompei, VI, 1, 4, Vestals Bar, 1st c. CE;Urban;Campania;R;1;1;1.0000;"Pompei, VI, 1, 4, Vestals Bar, 1st c. CE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites.; Triticum sp. has been classified as ""Cerealia""

";Murphy et al 2013;Roman;14.481633069569275;40.751659159606305;;1;;;;;;;;3;;1;1;;3;6;;;;1;20;;3;;;2;;;1;;;;;;;;21;;
192;Teglio, Combolo, 1st c. BCE- 2nd c. CE;Urban;Lombardia;R;-1;2;0.2500;From US 194;;Castiglioni and Rottoli 2015;Roman;10.06732417238592;46.172234453803064;;;;;;;;;;;;;;3;;;;;;17;;;1;;;;;;;;;;;;;;;;
194;Acquachiara, Trench 10000, Early Imperial Phase;Rural;Abruzzo;R;1;2;0.5000;"Farmhouse, Trench 10000. Very precise description of the sampling strategy. Radiocarbon dating: yes; Flotation: hand pump flotation system. Sample size: 196 litres from 22 samples; Identified taxa/litre: 0.15; Total no. of seeds: 117;  ";"The assemblage probably represents remains from a special use area rather than accumulation of daily consumption. The upper strata contained poorly preserved cereals and weeds seeds, but below a series of pits were encountered. The pits only contained fruit remains, probably deposited for drying; Average charcoal density: 0.210; Average charcoal fragmentation: 49.86 (% over 2mm);";Shelton 2009;Roman;14.407341375639954;42.00487328893356;5;;;;2;;;;;3;;;;;;2;;;;;89;;;;;;;;;;114;;;;;;52;;
203;Nave;Necropolis;Lombardia;R;1;1;1.0000;"Necropoli di Nave. Dry sieved with a 4mm sieve and a 1mm sieve. Some seeds have been measured in lenght and thickness. Many cerealia are ""Triticum cf. Compactum"", a category not available in this database. Ubiquity available. Anthracological remains available as well.";The tombs are scattered around Nave and Cortine (BS). The publication presents a table with the ubiquity and the tombs chronology (given with the emperor name: tiberiana, claudiana, augustea, etc...). Because of the meager number of seeds retrieved from these tombs (and because the authors themselves state that there were no big differences in the remains related to chronology) I created only one record classified as 1st c. CE. Anthracological analyses are also available and quantification is provided in the publication. Some tombs had remains of carbonised bread. Out of 44 tombs examined, 24 had botanical remains and 9 had bread offerings (tot. 29 tombs with food remains). It is possible that other tombs had more food remains, but it is hard to recognize these with a massive presence of other charcoal. The sampling has varied from 100g to some kgs. ;Castelletti 1987;Roman;10.258055905657397;45.585574714128114;;;;;21;;;;;54;39;5;;36;;;;;;19;2;;1;;1;10;;;;;1;;;;;;4;;
218;Casazza, Bergamo;Rural;Lombardia;R;1;5;0.2000;Casazza, Bergamo: 1st to 5th c.;Anthraco remains available. Since the data is too scarce, fragments have been included;Castiglioni 2005;Roman;9.907844655639213;45.7494633116574;1;;;;116;;;;;2;1;;;7;;;;;;4;;;22;;;;;;1;;;;;;;;2;;
220;Marzuolo, Phase 2;Rural;Toscana;R;1;1;1.0000;Marzuolo, Phase II: 70-70 CE. ;"Cerealia are Triticum sp.; Other taxa available (wetlands, etc.); Anthraco remains available;  From the text ""Seeds were found both whole and broken, but the small quan- tities do not permit further conclusions about their transport to or processing at the site. The combined presence of cereals and legumes (Lens culinaris) from this period may again point very tentatively towards grain/legume rotation and echoes their pairing in the later pollen spectra."" [...] ""Interestingly, the only relatively high number of records, coming from SU 10135, consists of seeds from two economic fruit trees (Vitis vinif- era and Maloideae), which were part of the agrarian landscape.""";Mercuri et al 2020b;Roman;11.408297998931415;42.95620255964278;;7;;;21;;;;;12;4;4;;1;;;;;1;;;;3;;;3;;;;;;;;;;;46;;
220;Marzuolo, Phase 3;Rural;Toscana;R;2;3;0.5000;Marzuolo, Phase III: 2nd-3rd c.;"Cerealia are Triticum sp.; Other taxa available (wetlands, etc.); Anthraco remains available; From the text: ""We should suppose that Phase 3 rep- resents a return to a more heavily pastured, grazing landscape along with a decrease in cereal production. This represents a major change from Phase 2, with its cereal-rich, pasture poor environment, which predominated during the site’s heyday as a ceramic manufacturing and distribution center.""";Mercuri et al 2020b;Roman;11.408297998931415;42.95620255964278;2;;;;;;;;;8;5;;;;;;;;;;;;1;;;2;;;;1;;;1;;;;14;;
223;Herculaneum, Cardo V sewer;Urban;Campania;R;1;1;1.0000;"Herculaneum, Cardo V, sewer; Samples of 15 l each. [Preservation mode] Either waterlogged, charred and mineralised. [Statistical corrections performed by author] ""Sum has been multiplied by four when item in the residue samples was smaller than 2 mm."" ""If the smaller fragments of any seed were not part of an identifiable feature then the combined fragments were given an MNI of one. Olive stone assemblages with over 100 fragments were weighed.""";"Other taxa present (also fish+birds); From the text: ""The sewer lacked an outflow point and instead functioned as a cesspit to collect the human and kitchen waste generated by those living in the multi-storey shop and apartment complex (Insula Orientalis II) situated above. In total, 220 l of soil was examined for carbonised and mineralised material, seashells, eggshells, otoliths and fish bones""";Rowan 2017;Roman;14.348113264181602;40.80591626652151;1;2;1;1;3;52;;35;7;207;;18;;3;;6;;;;3;1000;;6;;;686;;;12;;4;;16;;1;4;210;;
225;Cremona, piazza Marconi, wastepit;Urban;Lombardia;R;-2;-1;0.5000;Cremona, piazza Marconi, wastepit (US 5426-7);"Other taxa present; Mostly preserved through charring";Castiglioni and Rottoli 2018;Roman;10.022754626427878;45.13159072094098;;3;;;;18;;16;;3;;;;;;;;;1526;1;2608;3;1;;;6;;;9;;5;2;416;;;;1147;1;12
230;Cremona, piazza Marconi, Ninfeo domus;Urban;Lombardia;R;1;1;1.0000;Cremona, piazza Marconi, domus del Ninfeo, amb. 13-2-18-19 (2 storage spaces, 1 cubiculum, 1 boardroom): building destroyed after a fire in 69 CE;"Other taxa present; Mostly preserved through charring";Castiglioni and Rottoli 2018;Roman;10.022754626427878;45.13159072094098;1682;;2;1;;;1;;;22;;6;10;;162;;9;;;;;;3;;;;;;;;;;;;;;;;
231;Cremona, piazza Marconi, bone working craft area;Urban;Lombardia;R;-2;-1;0.5000;Cremona, piazza Marconi, craft area for bone working. US 2816;;Castiglioni and Rottoli 2018;Roman;10.022754626427878;45.13159072094098;;9;3;;;;;2;;156;;;;;;;;;1;11;2;;13;;1;5;;;;;;;1;;;;5;;
232;Vittorio Veneto, loc. San Rocco, period I;Urban;Veneto;R;-2;-1;0.5000;Vittorio Veneto, loc. San Rocco, period I (2nd c BCE - 1st c BCE). Visual sampling. Material water sieved in 0.5mm meshes, then dry sieved through 7-4-2-1-0.5 mm meshes. ;7 of Cerealia are Triticum spelta, + 4 Panicoideae (not transcribed in this row);Castiglioni et al 2014;Roman;12.2882577;45.9763529;2;291;14;;1;;;7;;94;;6;;;;;;;;;;;;;;;;;;;;;;;;;12;;
243;Vagnari II, Phase 2;Rural;Puglia;R;1;1;1.0000;Vagnari, Carroll excavations, Phase 2 (1st c. CE) - Drains, pits, storage pits, fills (grouped together since data was too scarce);"Other taxa available;";Stirn and Sgouros 2022;Roman;16.274555989653205;40.83289782302369;3;1;;;6;;;;;16;10;;;;;5;2;;;;;;;;;4;;;;;;;;;;;;;
243;Vagnari II, Phase 3;Rural;Puglia;R;2;2;1.0000;Vagnari, Carroll excavations, Phase 3 (2nd c. CE) - Drain fills, mortar fills, hearths, dolium fill (grouped together since data was too scarce);Other taxa available;Stirn and Sgouros 2022;Roman;16.274555989653205;40.83289782302369;7;;3;;4;;;;;11;3;;;;;;2;;;;;;;;;2;;;4;;;;;;;;;;
243;Vagnari II, Phase 4;Rural;Puglia;R;2;3;0.5000;Vagnari, Carroll excavations, Phase 4 (late 2nd c. CE - early 3rd c. CE) - daub wall, imbrex fill, hearth floor (grouped together since data was too scarce);Other taxa available;Stirn and Sgouros 2022;Roman;16.274555989653205;40.83289782302369;9;;3;3;5;;;;;7;10;;;;;2;2;;;;;;;;;3;;;1;;;;;;;;;;
251;Modena, Novi Sad - landfill;Urban;Emilia-Romagna;R;1;2;0.5000;Modena, Novi Sad, landfill. USS 1578, 3132;;Bosi et al 2017;Roman;10.92330581318566;44.65137680131194;;;;;1;;1;;;1;;;;;;1;;;4;12;115;7;4;;;11;;8;;44;1;;;;5;2;101;1;
278;Pantanello, sanctuary basin, abandonment phase, 2nd c. - 1st c. BCE;Rural;Basilicata;R;-2;-1;0.5000;"Pantanello, basin of the sanctuary which was gradually abandoned from the 3rd c. BCE. The deposit dates from the 2nd to the 1st c. BCE. Flotation with a Siraf machine was used. The seeds are both waterlogged and charred, and the publication lists them separately. For convenience, in this entry they have been merged together. From the Roman layer 10296 seeds have been found, from 73 samples examined (350 l / 510 kg). From the text: The uppermost layers of the deposit were sampled in a simple random pattern across the investigated area, collecting at least 15–20 equal size soil samples of about 5 liters each� For the other submerged archaeological layers, a bulk sampling strategy was adopted� A 10-liter sample was assumed as standard for the whole deposit, to avoid any diversity of sampling in the various con- texts and to limit the need to adapt the size of the soil samples as analysis proceeded� The weight of each soil sample was not uniform, as the moisture and the den- sity of the deposit varied from the top (mostly dry soil) to the bottom (mostly wet/moist soil), and by layer and area according to the presence of solid material.

";"[Extra] Cerealia (12 Triticum sp, 2 Hordeum sp.), + 5 Punica granatum; Contains info about weeds and acquatic plants";Costantini and Costantini Biasini 2018;Roman;16.786493772770424;40.389436907716814;1;2;;;13;9;;;;14;;;;;;;;;;;2119;;;;;184;;;;;;;;;;;334;;
283;Aquileia, Canale Anfora, 1st-3rd c. CE;Urban;Friuli-Venezia Giulia;R;1;3;0.3333;"Aquileia, Canale Anfora, late 1st to 3rd c. CE. Waterlogged seeds (and wood remains - not reported in this entry), although there are some rare exceptions of charred and mineralised seeds; 8 samples analysed by Musei Civici di Como, from each sample 100ml have been studied (+1 extra 100ml sample from US 20). The samples have been washed with a 0,25mm mesh, and submerged briefly in hydrogen peroxide. The stratigraphic units studied are: US 34, 31 and 6 (layers of sterile clay, probably not anthropic - related to the creation of the channel), US 30, 24 and 20 (layers dated to the 1st to the 3rd c.)";"[Extra] Cerealia (2550 Triticum/Hordeum, 1 Triticum sp., 11 Panicoideae), Panicum m. (2 seeds are cfr.), +4 Anethum, +9 Apium gr., +1 Coriandrum, +1 Satureja h., +1 Crateagus sp., +2 cfr. Cydonia
oblonga, +4 Morus nigra, +1 Myrtus communis, +25 Pinus p., 40 Prunus sp (36 Prunus avium/cerasum, 1 Prunus cfr. armeniaca, 2 Prunus sp), +3 cfr. Punica granatum, +2 Pyrus/Malus, +7 Quercus sp., +1 Rosa sp.; Wetland/pasture/woodland taxa available";Rottoli 2017;Roman;13.3346;45.76475;2;1;;;3;17;;20;;2565;;;;;;;;;;17;760;2;205;22;9;21;;6;40;4;1;6;15;2;;6;208;1;
1;Calvatone-Bedriacum, 1st c. BCE - 1st c. CE;Urban;Lombardia;R;1;1;1.0000;"Calvatone-Bedriacum, 1st c. CE; ";"[Extra] Cerealia (7 Triticum/Hordeum, 8 Triticum sp.); Sizes are provided; Weeds are provided";Rottoli 1996;Roman;10.44266062805678;45.128482674895764;292;6;1;;1086;2;;;;15;;94;;14;;5;;;;;;;;;;;;;;;;;;;;;;;
289;Pompei, I 9, House of Amarantus, 1st c. BCE;Religious;Campania;R;-1;-1;1.0000;Pompei, House of Amarantus, Garden, 1st c. BCE, ritual offerings;"This publication reported the presence of a taxa on the total of ritual offerings/samples retrieved. Although indicating the number of total contexts sampled, it is safer to report the counts merely as presence/absence (1/0) as it might be misleading to do otherwise.; [EXTRA] A 'millet' found in one sample.";Robinson 2002;Roman;14.49110577296243;40.750398448830175;;;;;;;;;;1;1;1;;1;;;;;;;1;;1;;;1;;;;;;;;;;;1;;
289;Pompei, I 9, House of Amarantus, 1st c. CE;Religious;Campania;R;1;1;1.0000;Pompei, House of Amarantus, Garden, 1st c. CE, ritual offerings;"This publication reported the presence of a taxa on the total of ritual offerings/samples retrieved. Although indicating the number of total contexts sampled, it is safer to report the counts merely as presence/absence (1/0) as it might be misleading to do otherwise.; [EXTRA] Abundance of Pinus pinea reported.; Ornamental plants (Myrtus, Cupressus, etc) reported";Robinson 2002;Roman;14.49110577296243;40.750398448830175;;1;;;1;1;;1;;1;1;;;;;;;;;1;1;;1;;;1;;;1;1;;;;;;;1;;
69;Settefinestre, Phase 1;Rural site, villa;Toscana;R;-1;1;0.5000;Settefinestre, Phase 1;Important note: This entry just contains '1' to indicate the presence of a taxon. The authors did not provide the raw counts. ;Jones 1985;Roman;11.327089226104398;42.4308642494648;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Settefinestre, Phase 2;Rural site, villa;Toscana;R;2;3;0.5000;Settefinestre, Phase 3;Important note: This entry just contains '1' to indicate the presence of a taxon. The authors did not provide the raw counts. ;Jones 1985;Roman;11.327089226104398;42.4308642494648;;1;;1;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;1;;
168;Pompei, VI, 1, 9.10.23, House of the Surgeon, 1st c. CE;Urban;Campania;R;1;1;1.0000;Pompei, VI, 1, 9.10.23, House of the Surgeon, mid-1st c. CE (Phase 6) - Total counts from the shop, Room 11, Room 23, Room 6c, Room 10, Room 3-4. Room 22;Cerealia (23 Triticum sp. 19 Panicum sp.), Vicia sp. (1 Vicia ervilia, 19 vicia sp.), 1 Pinea, Weeds (2 Apiaceae, 2 Lamiaceae, 2 Ornithopus p., 2 Panicoid, 1 Polygonum sp., 1 Rumex sp. 2 Solanum nigrum);Murphy 2018;Roman;14.481851060152305;40.75159883733663;3;5;1;;;4;;3;;42;;11;;;6;20;;;;;28;;6;;;417;;;;;;;;;;2;147;;
134;San Candido, Cantiere Böden;Rural;Trentino-Alto Adige/Südtirol;R;1;1;1.0000;San Candido/Littamum, cantiere Böden, from a burned layer (US 18);Cerealia (1 Tr. dicoccum/monococcum, 10 Triticum sp., 1 Tr. dicoccum/durum, 19 Cerealia), Weeds have been provided.;Castiglioni 2005;Roman;12.287541123200938;46.73358747070309;;15;3;3;4;;;;;32;3;;;;;;;;;8;;;;;;;;;;;;;;;;;;;
290;San Candido, Casa dell'Organista, Roman age;Rural;Trentino-Alto Adige/Südtirol;R;1;3;0.3333;San Candido/Littamum, Casa dell'Organista, Roman layers, US 11 (Hearth), US 14 (Mortar floor - possibly 2nd-3rd c.);"Note on chronology: The 1st to 3rd c. CE chronology was hypothesized according to the plausible dating of the US14 layer and the 'Roman' attribution of the layer US11 (in accordance with the other excavations at San Candido); Cerealia (1 Hordeum/Avena, 1 Tr. spelta, 7 Triticum sp., 6 Triticum/Secale, 75 Cerealia), Weeds are provided";Castiglioni 2005;Roman;12.282496938200017;46.73325290821929;6;10;;9;23;9;17;;;90;1;;1;9;;;;;;;;;;;;;;;;;;;1;;;;;;
2;Desenzano, loc. Faustinella;Rural;Lombardia;LR;5;6;0.5000;;;Castiglioni and Rottoli 2007;Late Roman;10.538694;45.4694851;1;2;7;8;1;6;1;11;;103;;1;;;;;;;2;;;;60;;;;;;;;;;;;;;263;;
5;Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Urban;Lombardia;LR;3;6;0.2500;Cascina S. Martino. samples collected from Roman well used later as a wastepit. Grape, wild/sour cherry, fig overrepresented. The pit contained human excrements.;;Castiglioni and Rottoli 2012;Late Roman;9.508719072826871;45.43117278804427;1;;;1;2;2;2;2;;1;;;;1;2;;2;;1;1;499;1;22;;;;576;;297;;;;37;;2;;3583;;
6;Monte Barro;Castrum;Lombardia;LR;5;6;0.5000;"Monte Barro: big agglomerate of linum picked up together; castanea sativa was easy to pick in the US; ";"storage area: large number of bread wheat/durum; The article provides also seed sizes";Castelletti and Castiglioni 1991;Goth;9.369320317683991;45.83092616011957;2017;;1;6;90;;76;5;;;;3;;2;32;148;;;;18;;;73;510;;;1;;;11;;;;;;;16;10000;
7;Loppio, Isola S. Andrea;Castrum;Trentino-Alto Adige/Südtirol;LR;5;6;0.5000;Loppio, isola S. Andrea. ;;Moser 2006;Lombard;10.916720914052336;45.866429428008345;1;;2;3;25;136;5;98;1;103;3;16;4;2;9;1;14;;;;;;3;;;;;;;;;;;;;;1;;
8;Lomello, villa Maria;Rural;Lombardia;LR;5;6;0.5000;Lomello, villa Maria. visual sampling;;Nisbet 1987;Early Medieval;8.797278548240513;45.1221589340304;9;;1;1;18;1;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Domagnano;Rural;San Marino;LR;5;6;0.5000;from a pit;synantropic plants, wet plants, alia are included but were not copied;Mercuri et al 2009;Goth;12.468926451003016;43.947901691490465;1;;;;3;;;;;2;;;;;;;;;;;206;3;2;;2;250;;;;;1;;;1;;;1595;;
28;Teglio, municipio;Urban;Lombardia;LR;3;4;0.5000;vs;;Castiglioni and Rottoli 2015;Late Roman;10.066866872153222;46.17240998456696;37;8;;;2;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Teglio, via Roma;Urban;Lombardia;LR;5;6;0.5000;vs;;Castiglioni and Rottoli 2015;Early Medieval;10.070032275277624;46.17100687400183;;22;;;3;;;6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Cislago;Rural site, villa;Lombardia;LR;4;5;0.5000;Cislago: 0.5l + vs - seeds from a olla;;Castiglioni and Rottoli 2015;Late Roman;8.974157624911557;45.660400959244946;8612;;;;;;2556;51;;16;;14;13;177;2;;;;;;;;;16;;;;;;;;;;;;;2;;
31;Aquileia, insule quartieri nord;Urban;Friuli-Venezia Giulia;LR;5;6;0.5000;5l + vs;;Rottoli 2001b;Early Medieval;13.3632280102961;45.76843522391114;1;;;;;;;1;;5;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
32;Campi di Riva del Garda, Monte S. Martino;Urban;Trentino-Alto Adige/Südtirol;LR;4;6;0.3333;8 samples, 10 liters + vs;"Some cereals have been classified as ""Cerealia ind""";Castiglioni 2007;Early Medieval;10.821289190934788;45.917374128067024;2;3;;1;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Sirmione, via Antiche Mura;Rural site, villa;Lombardia;LR;5;6;0.5000;vs;Very high sample of some taxa makes the data unbalanced.;Rottoli 1998;Early Medieval;10.607602299147022;45.49350727456822;13;;;;;90000;;255600;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Modena, via Nonantolana;Rural;Emilia-Romagna;LR;5;6;0.5000;50.6 liters;;Bosi et al 2019;Early Medieval;10.960618877376247;44.65912805035021;8;;;82;;50;;;;18;;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;
